ID,SMILES,Gen,FuncGroup,Formula,SAScore,MolWt,LogP,LipinskiViolations,QEDViolations,GhoseViolations,VeberViolations,REOSViolations,RuleOf3Violations,HDonors,HAcceptors,RotBonds,NumAtoms,MolarRefractivity,TPSA,FormalCharge,NumHeavyAtoms,NumRings,PAINSFilter,BRENKFilter,BRENKMatches,MinBindingEnergy,AvgBindingEnergy,SynthSuccessProb,RetroSolved,RetroPrecursors,RetroSteps,image_path
1343185,Cc1ccc(C(=O)NCC(=O)Nc2ccc(-n3nnc4ccccc4c3=O)cc2)cc1Nc1ccc(C(F)(F)F)cc1,5.0,Amine,C30H23F3N6O3,2.4,572.2,5.2,2.0,3.0,2.0,0.0,2.0,4.0,3.0,7.0,7.0,42.0,152.0,118.0,0.0,42.0,5.0,True,True,,-9.2,-8.3,0.963,True,5.0,5.0,z_tmp/DSX_Strctures/1343185.png
1346554,Cc1ccc(-c2ccc(C(=O)NC(=O)Nc3nn[nH]n3)cn2)cc1Nc1cccc(-c2nn[nH]n2)c1,7.0,Amine,C22H18N12O2,2.8,482.2,2.5,0.0,2.0,1.0,1.0,0.0,4.0,5.0,10.0,6.0,36.0,128.0,192.0,0.0,36.0,5.0,True,True,,-9.2,-8.4,0.963,True,4.0,5.0,z_tmp/DSX_Strctures/1346554.png
1351695,O=C(Nc1cccc(-c2ccc(C(=O)Nc3cccc(-c4cccc(-c5nn[nH]n5)c4)c3)cc2)c1)Nc1nn[nH]n1,10.0,,C28H21N11O2,2.6,543.2,4.6,1.0,2.0,2.0,1.0,1.0,5.0,5.0,8.0,7.0,41.0,151.7,179.2,0.0,41.0,6.0,True,True,,-9.2,-8.6,0.975,True,6.0,4.0,z_tmp/DSX_Strctures/1351695.png
1352065,O=C(Nc1cccc(-c2cccc(CNC(=O)C3CCCCC3)c2)c1)Nc1cccc(-c2nn[nH]n2)c1,10.0,,C28H29N7O2,2.4,495.2,5.4,1.0,3.0,2.0,0.0,1.0,5.0,4.0,5.0,7.0,37.0,142.6,124.7,0.0,37.0,5.0,True,True,,-9.2,-8.6,0.963,True,3.0,5.0,z_tmp/DSX_Strctures/1352065.png
1352030,O=C(NCc1cccc(NC(=O)Nc2cccc(-c3nn[nH]n3)c2)c1)Nc1cccc(-c2nn[nH]n2)c1,10.0,,C23H20N12O2,2.5,496.2,3.0,1.0,3.0,2.0,1.0,1.0,5.0,6.0,8.0,7.0,37.0,134.2,191.2,0.0,37.0,5.0,True,True,,-9.2,-8.8,0.963,True,5.0,5.0,z_tmp/DSX_Strctures/1352030.png
1342779,O=C(NCc1cccc(-c2ccc(C(=O)Nc3nn[nH]n3)cn2)c1)c1cccc(-n2cnnn2)c1,4.0,,C22H17N11O2,2.6,467.2,1.4,0.0,2.0,0.0,1.0,0.0,3.0,3.0,10.0,7.0,35.0,122.1,169.1,0.0,35.0,5.0,True,True,,-9.2,-8.3,0.975,True,5.0,4.0,z_tmp/DSX_Strctures/1342779.png
1341463,Cc1ccc(C(=O)COc2cccc(NC(=O)CNC(=O)c3ncoc3-c3cccc(F)c3)c2)cc1,4.0,Halogen,C27H22FN3O5,2.4,487.2,4.4,0.0,2.0,2.0,0.0,1.0,4.0,2.0,6.0,9.0,36.0,130.3,110.5,0.0,36.0,4.0,True,True,,-9.2,-8.2,0.975,True,4.0,4.0,z_tmp/DSX_Strctures/1341463.png
1349906,O=C(NCc1cccc(-c2ccc(C(=O)Nc3cn[nH]n3)cc2)c1)Nc1cccc(-c2nn[nH]n2)c1,9.0,,C24H20N10O2,2.6,480.2,3.2,0.0,2.0,2.0,1.0,0.0,5.0,5.0,7.0,7.0,36.0,131.7,166.3,0.0,36.0,5.0,True,True,,-9.2,-8.0,0.975,True,6.0,4.0,z_tmp/DSX_Strctures/1349906.png
1338857,Cc1cccc(-c2ocnc2C(=O)Nc2cccc(-c3nnnn3Cc3ccc4nnnn4n3)c2)c1,2.0,,C23H17N11O2,3.0,479.2,2.4,1.0,3.0,0.0,1.0,1.0,3.0,1.0,12.0,6.0,36.0,125.6,154.7,0.0,36.0,6.0,True,True,,-9.2,-8.8,0.975,True,4.0,4.0,z_tmp/DSX_Strctures/1338857.png
1347431,Cc1cc(C)c(Nc2cccc(-c3nn[nH]n3)c2)cc1NC(=O)NCc1cccc(-c2nn[nH]n2)c1,7.0,Amine,C24H23N11O,2.7,481.2,3.7,0.0,2.0,2.0,1.0,0.0,5.0,5.0,8.0,7.0,36.0,134.3,162.1,0.0,36.0,5.0,True,True,,-9.2,-8.6,0.956,True,4.0,6.0,z_tmp/DSX_Strctures/1347431.png
1351348,O=C(Cc1ccc(-c2cccc(NC(=O)Nc3nn[nH]n3)c2)cc1)Nc1ccc2c(c1)OCCO2,10.0,,C24H21N7O4,2.4,471.2,3.5,0.0,2.0,0.0,1.0,0.0,5.0,4.0,7.0,6.0,35.0,128.5,143.2,0.0,35.0,5.0,True,True,,-9.2,-8.4,0.987,True,5.0,3.0,z_tmp/DSX_Strctures/1351348.png
1344482,CCc1ccc(C(=O)NC(=O)NCc2cccc(-c3nn[nH]n3)c2)cc1Nc1cccc(-c2nn[nH]n2)c1,6.0,Amine,C25H23N11O2,2.7,509.2,3.0,1.0,2.0,2.0,1.0,1.0,4.0,5.0,9.0,8.0,38.0,138.0,179.2,0.0,38.0,5.0,True,True,,-9.2,-8.8,0.963,True,4.0,5.0,z_tmp/DSX_Strctures/1344482.png
1349988,Cc1ccc(C(=O)NC(=O)NC(=O)NCc2cccc(-c3nn[nH]n3)c2)cc1Nc1ccc(C(F)(F)F)nn1,9.0,Amine,C23H19F3N10O3,2.9,540.2,3.1,1.0,2.0,1.0,1.0,1.0,5.0,5.0,9.0,6.0,39.0,129.3,179.6,0.0,39.0,4.0,True,True,,-9.2,-8.5,0.963,True,5.0,5.0,z_tmp/DSX_Strctures/1349988.png
1349999,COc1ccc(NC(=O)C(C)Oc2cccc(-c3nn[nH]n3)c2)cc1Nc1cc(-c2nn[nH]n2)ccn1,9.0,Amine,C23H21N11O3,3.2,499.2,2.6,1.0,3.0,2.0,1.0,2.0,4.0,4.0,11.0,9.0,37.0,132.0,181.4,0.0,37.0,5.0,True,True,,-9.2,-8.4,0.956,True,5.0,6.0,z_tmp/DSX_Strctures/1349999.png
1346899,Cc1ccc(NC(=O)NCc2cccc(-c3nn[nH]n3)c2)cc1Nc1cccc(-c2nn[nH]n2)c1,7.0,Amine,C23H21N11O,2.6,467.2,3.4,0.0,2.0,0.0,1.0,0.0,5.0,5.0,8.0,7.0,35.0,129.5,162.1,0.0,35.0,5.0,True,True,,-9.2,-8.6,0.975,True,4.0,4.0,z_tmp/DSX_Strctures/1346899.png
1343165,O=C(Nc1cccc(S(=O)(=O)c2ccc(-c3nn[nH]n3)cc2)c1)c1cccc(-c2nn[nH]n2)c1,5.0,,C21H15N9O3S,2.5,473.1,2.1,0.0,2.0,0.0,1.0,0.0,3.0,3.0,9.0,6.0,34.0,119.1,172.2,0.0,34.0,5.0,True,True,,-9.2,-8.2,0.975,True,3.0,4.0,z_tmp/DSX_Strctures/1343165.png
1351437,Cc1ccc(C(=O)NC(=O)NCc2cccc(-c3nn[nH]n3)c2)cc1Nc1ccc(-c2cccc(-n3cnnn3)c2)cn1,10.0,Amine,C29H24N12O2,2.8,572.2,3.6,2.0,3.0,2.0,1.0,2.0,5.0,4.0,11.0,8.0,43.0,156.2,181.2,0.0,43.0,6.0,True,True,,-9.2,-8.5,0.987,True,4.0,3.0,z_tmp/DSX_Strctures/1351437.png
1340359,COc1ccc(C(=O)Nc2cnn(CCn3ccc4ccc(F)cc43)c2)cc1NC(=O)c1cccc(-c2nn[nH]n2)c1,3.0,Halogen,C29H24FN9O3,2.7,565.2,4.4,1.0,2.0,2.0,1.0,2.0,4.0,3.0,9.0,9.0,42.0,152.6,144.6,0.0,42.0,6.0,True,True,,-9.2,-8.5,0.963,True,5.0,5.0,z_tmp/DSX_Strctures/1340359.png
1347227,O=C(CCc1cc(NC(=O)c2cccc(-c3nn[nH]n3)c2)ccc1F)Nc1cccc(-c2nn[nH]n2)c1,7.0,Halogen,C24H19FN10O2,2.6,498.2,3.0,0.0,2.0,2.0,1.0,0.0,5.0,4.0,8.0,8.0,37.0,130.5,167.1,0.0,37.0,5.0,True,True,,-9.2,-8.6,0.975,True,3.0,4.0,z_tmp/DSX_Strctures/1347227.png
1351430,Cc1ccc(C(=O)NC(=O)Nc2ccc3ccccc3c2)cc1Nc1cccc(-c2nn[nH]n2)c1,10.0,Amine,C26H21N7O2,2.3,463.2,5.0,1.0,3.0,1.0,0.0,1.0,5.0,4.0,6.0,5.0,35.0,134.5,124.7,0.0,35.0,5.0,True,True,,-9.2,-8.4,0.975,True,4.0,4.0,z_tmp/DSX_Strctures/1351430.png
